交互检查规则,,,,,,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,,,,,,,
分类,基础信息,,,,,,,,,,,,,,,,,
表头,编号,是否是最后一主线任务,引导ID,背景ID,背景音ID,男前置任务编号,男后续任务编号,男任务名称,男任务描述,男任务ID,男NPC对话组ID,女前置任务编号,女后续任务编号,女任务名称,女任务描述,女任务ID,女NPC对话组ID,
穿装备,10007,,707,,,10006,10008,穿装备,小主，后宫之中人心叵测，小主若想要提升自己的战力，您需要通过穿装备来提升自己。【请小主点击装备按钮后前去穿戴装备】,40008,,10006,10008,穿装备,小主，后宫之中人心叵测，小主若想要提升自己的战力，您需要通过穿装备来提升自己。【请小主点击装备按钮后前去穿戴装备】,40008,,
强化,10008,,708,,,10007,10009,强化,小主，老奴依旧放心不下小主，老奴建议小主再前去强化一下筋骨才好应付那些心狠手辣之人。【请小前去仆从界面点击强化按钮】,40009,,10007,10009,强化,小主，老奴依旧放心不下小主，老奴建议小主再前去强化一下筋骨才好应付那些心狠手辣之人。【请小前去仆从界面点击强化按钮】,40009,,
剧情战斗（打第三关）,10009,,,,,10008,10010,剧情战斗（打第三关）,老奴看小主精神抖擞，小主可放心前去剧情战斗了。【请小主打通剧情第一章第三关卡】,40010,,10008,10010,剧情战斗（打第三关）,老奴看小主精神抖擞，小主可放心前去剧情战斗了。【请小主打通剧情第一章第三关卡】,40010,,
招募,10010,,710,,,10009,10011,招募,小主为何如此伤神，可要仔细玉体，娴妃娘娘给小主支招，让小主去寻觅一二贴心仆从，这样会对小主有极大的帮助。【请小主点击仆从按钮前去招募仆从】,40011,,10009,10011,招募,小主为何如此伤神，可要仔细玉体，娴妃娘娘给小主支招，让小主去寻觅一二贴心仆从，这样会对小主有极大的帮助。【请小主点击仆从按钮前去招募仆从】,40011,,
上阵,10011,,711,,,10010,10012,上阵,小主，既然已招募到忠心的仆从，那就让他们各司其职，尽忠职守吧。【请小主点击仆从按钮前去布阵】,40012,,10010,10012,上阵,小主，既然已招募到忠心的仆从，那就让他们各司其职，尽忠职守吧。【请小主点击仆从按钮前去布阵】,40012,,
剧情战斗（打通全关）,10012,,,,,10011,10013,剧情战斗（打通全关）,小主可是要再去一探究竟，现有仆从陪同，老奴也能放心了。【请小主打通剧情第一章全部关卡】,40013,,10011,10013,剧情战斗（打通全关）,小主可是要再去一探究竟，现有仆从陪同，老奴也能放心了。【请小主打通剧情第一章全部关卡】,40013,,
升官,10013,,713,,,10012,10014,升官,奉天承运，皇帝诏曰，命储秀宫各位小主前去接旨受封号。【请小主点击官品按钮前去挑战】,40014,,10012,10014,升官,奉天承运，皇帝诏曰，命储秀宫各位小主前去接旨受封号。【请小主点击官品按钮前去挑战】,40014,,
礼单任务,10014,,714,,,10013,10015,礼单任务,恭喜小主获封，从今日起小主要与后宫妃嫔多走动，对日后的宫中生活也是极有益处的。【请小主点击礼单】,40015,,10013,10015,礼单任务,恭喜小主获封，从今日起小主要与后宫妃嫔多走动，对日后的宫中生活也是极有益处的。【请小主点击礼单】,40015,,
建造土壤达到8块,10015,,716,1002,,10014,10016,建造土壤达到8块,晴格格感激小主前几日为太后送玫瑰花，特意前来提示小主多多建造土壤可加大产量。【请小主购买土壤】,40016,"(2017,2018,2019,2020,)",10014,10016,建造土壤达到8块,晴格格感激小主前几日为太后送玫瑰花，特意前来提示小主多多建造土壤可加大产量。【请小主购买土壤】,40016,"(2017,2018,2019,2020,)",
种植玫瑰花6朵,10016,,,1002,,10015,10017,种植玫瑰花6朵,福伽姑姑传话来，请小主种植6朵玫瑰花送去供太后早起使用。【请小主采摘玫瑰花】,40017,"(2000,2001,2002,2003,)",10015,10017,种植玫瑰花6朵,福伽姑姑传话来，请小主种植6朵玫瑰花送去供太后早起使用。【请小主采摘玫瑰花】,40017,"(2000,2001,2002,2003,)",
加速花朵2次,10017,,612,1001,,10016,10018,加速花朵2次,蕊心为小主准备了充足的元宝，使用元宝可为土壤加速，使花朵快速长成。【请小主加速鲜花】,40018,"(2004,2005,)",10016,10018,加速花朵2次,蕊心为小主准备了充足的元宝，使用元宝可为土壤加速，使花朵快速长成。【请小主加速鲜花】,40018,"(2004,2005,)",
建造金元宝,10018,,613,,,10017,10019,建造金元宝,公公见小主月银不够用了，好心提醒小主可以通过金元宝来生产银两供小主日常开销。【请小主点击皇宫→选择金元宝→拖拽到地图→建造成功】,40019,,10017,10019,建造金元宝,公公见小主月银不够用了，好心提醒小主可以通过金元宝来生产银两供小主日常开销。【请小主点击皇宫→选择金元宝→拖拽到地图→建造成功】,40019,,
生产银两,10019,,614,,,10018,10020,生产银两,娴妃娘娘派三宝来，教小主如何打碎银。【请小主点击元宝→将银两拖到生产格子内→等待收获】,40020,,10018,10020,生产银两,娴妃娘娘派三宝来，教小主如何打碎银。【请小主点击元宝→将银两拖到生产格子内→等待收获】,40020,,
加速生产银两,10020,,615,,,10019,10021,加速生产银两,蕊心为小主准备了充足的元宝，让小主加快打碎银的速度，快快拿到更多的银两。【请小主点击元宝→选中在生产的格子→点击加速按钮】,40021,,10019,10021,加速生产银两,蕊心为小主准备了充足的元宝，让小主加快打碎银的速度，快快拿到更多的银两。【请小主点击元宝→选中在生产的格子→点击加速按钮】,40021,,
建造书案,10021,,616,,,10020,10022,建造书案,娴妃娘娘派宫女告知小主可以通过书案进行学习来获取经验。【请小主点击皇宫→选择书案→拖拽到地图→建造成功】,40022,,10020,10022,建造书案,娴妃娘娘派宫女告知小主可以通过书案进行学习来获取经验。【请小主点击皇宫→选择书案→拖拽到地图→建造成功】,40022,,
生产经验,10022,,617,,,10021,10023,生产经验,三宝前来传话，告知小主生产经验的方法。【请小主建造书案→点击书案→将经验拖到生产格子内→等待收获】,40023,,10021,10023,生产经验,三宝前来传话，告知小主生产经验的方法。【请小主建造书案→点击书案→将经验拖到生产格子内→等待收获】,40023,,
加速生产经验,10023,,618,,,10022,10024,加速生产经验,蕊心为小主准备了充足的元宝，让小主加快学习速度来获取更多的经验。【请小主点击书案→选中在生产的格子→点击加速按钮】,40024,,10022,10024,加速生产经验,蕊心为小主准备了充足的元宝，让小主加快学习速度来获取更多的经验。【请小主点击书案→选中在生产的格子→点击加速按钮】,40024,,
砍树2棵,10024,,500,1005,,10023,10025,砍树2棵,皇后娘娘见小主近几日格外讨太后欢心，心生怨气，故借口责罚小主去荒地砍树以思过。【请小主点击任意一棵树→将锯子拖拽到所选树干上→砍树成功】,40025,"(2006,2007,2008,2009,2010,)",10023,10025,砍树2棵,皇后娘娘见小主近几日格外讨太后欢心，心生怨气，故借口责罚小主去荒地砍树以思过。【请小主点击任意一棵树→将锯子拖拽到所选树干上→砍树成功】,40025,"(2006,2007,2008,2009,2010,)",
除草2块,10025,,,,,10024,10026,除草2块,皇后娘娘怒气依旧未消去，因此继续责罚小主去荒地除草以思过。【请小主点击任意一块草地→将镰刀拖拽到所选草地上→除草成功】,40026,,10024,10026,除草2块,皇后娘娘怒气依旧未消去，因此继续责罚小主去荒地除草以思过。【请小主点击任意一块草地→将镰刀拖拽到所选草地上→除草成功】,40026,,
移动任意建筑,10026,,611,1004,,10025,10027,移动任意建筑,近几皇上日龙体抱恙，太后命钦天监观星卜卦得知原是小主寝宫的建筑布局风水不好冲撞了龙体，故命小主移动建筑改变寝宫的布局。【请小主选择任意建筑移动位置】,40027,"(2011,2012,2013,)",10025,10027,移动任意建筑,近几皇上日龙体抱恙，太后命钦天监观星卜卦得知原是小主寝宫的建筑布局风水不好冲撞了龙体，故命小主移动建筑改变寝宫的布局。【请小主选择任意建筑移动位置】,40027,"(2011,2012,2013,)",
建造装饰物,10027,,639,1009,,10026,10028,建造装饰物,娴妃娘娘给小主出主意，在宫中建造一个大雄石狮子能够改善宫中的风水。【请小主点击皇宫处→选择第二个建筑标签→在其下拉菜单下找到大雄石狮子→拖拽到地图空地→建造成功】,40028,"(2014,2015,2016,)",10026,10028,建造装饰物,娴妃娘娘给小主出主意，在宫中建造一个大雄石狮子能够改善宫中的风水。【请小主点击皇宫处→选择第二个建筑标签→在其下拉菜单下找到大雄石狮子→拖拽到地图空地→建造成功】,40028,"(2014,2015,2016,)",
查看繁荣度,10028,,610,,,10027,10031,查看繁荣度,请小主长按繁荣度按钮即可查看繁荣度。【请小主长按繁荣度显示框】,40029,,10027,10031,查看繁荣度,请小主长按繁荣度按钮即可查看繁荣度。【请小主长按繁荣度显示框】,40029,,
升官正九品,10031,,609,1003,,10028,10032,升官正九品,皇上下旨，将小主升官正九品。【请小主点击升官按钮→选择挑战→战斗胜利即可升官】,40032,"(2021,2022,2023,)",10028,10032,升官正九品,皇上下旨，将小主升官正九品。【请小主点击升官按钮→选择挑战→战斗胜利即可升官】,40032,"(2021,2022,2023,)",
添加好友一位,10032,,504,1008,,10031,10033,添加好友一位,晴格格见小主近几日心情不好，特意提醒小主多交些好友，既能缓解小主心情他日还能为小主帮忙。【请小主→点击好友按钮→选择添加好友界面→加好友】,40033,"(2042,2043,2044,)",10031,10033,添加好友一位,晴格格见小主近几日心情不好，特意提醒小主多交些好友，既能缓解小主心情他日还能为小主帮忙。【请小主→点击好友按钮→选择添加好友界面→加好友】,40033,"(2042,2043,2044,)",
向好友请安,10033,,505,,,10032,10034,向好友请安,公公提醒小主那日因穿错衣服冲撞了娴妃，建议小主通过请安来消除和娴妃娘娘之间的芥蒂。【请小主点击储秀宫→点击拜访→选择要拜访的好友】,40034,,10032,10034,向好友请安,公公提醒小主那日因穿错衣服冲撞了娴妃，建议小主通过请安来消除和娴妃娘娘之间的芥蒂。【请小主点击储秀宫→点击拜访→选择要拜访的好友】,40034,,
建造御花园,10034,,507,,,10033,10035,建造御花园,小主需先建造御花园方可开启花房等功能进行种花。【请小主建造御花园】,40035,,10033,10035,建造御花园,小主需先建造御花园方可开启花房等功能进行种花。【请小主建造御花园】,40035,,
花房造1朵暖阳初雪,10035,,631,1001,,10034,10036,花房造1朵暖阳初雪,娴妃娘娘得知是皇后挑拨她与小主二人关系，隧约小主前去花房种暖阳初雪以增进小主与她的感情。【请小主点击御花园→点击花房→选择暖阳初雪】,40036,"(2050,2051,2052,)",10034,10036,花房造1朵暖阳初雪,娴妃娘娘得知是皇后挑拨她与小主二人关系，隧约小主前去花房种暖阳初雪以增进小主与她的感情。【请小主点击御花园→点击花房→选择暖阳初雪】,40036,"(2050,2051,2052,)",
用化肥加速1次,10036,,,1002,,10035,10037,用化肥加速1次,小主陪同娴妃种花，娴妃甚是开心，特意命人送来化肥供小主使用。【请小主点击御花园→点击花房→选中花苗→点击化肥→施肥成功】,40037,"(2053,)",10035,10037,用化肥加速1次,小主陪同娴妃种花，娴妃甚是开心，特意命人送来化肥供小主使用。【请小主点击御花园→点击花房→选中花苗→点击化肥→施肥成功】,40037,"(2053,)",
合成1朵情有独钟,10037,,508,1001,,10036,10038,合成1朵情有独钟,令嫔本是花房女婢，如今一跃成为妃嫔，这后宫之中没人看得起这婢女出身的令嫔，唯独小主心善愿意与其交往，因此令嫔时常约小主去花房练习插花。【请小主→击御花园→点击插花→选中情有独钟→点击合成】,40038,"(2054,2055,2056,)",10036,10038,合成1朵情有独钟,令嫔本是花房女婢，如今一跃成为妃嫔，这后宫之中没人看得起这婢女出身的令嫔，唯独小主心善愿意与其交往，因此令嫔时常约小主去花房练习插花。【请小主→击御花园→点击插花→选中情有独钟→点击合成】,40038,"(2054,2055,2056,)",
赠送好友情有独钟,10038,,506,,,10037,10039,赠送好友情有独钟,公公给小主出主意，建议小主将插好的情有独钟赠予好友，有利于增加小主在宫中的魅力值。【请小主赠送任意好友一朵情有独钟】,40039,,10037,10039,赠送好友情有独钟,公公给小主出主意，建议小主将插好的情有独钟赠予好友，有利于增加小主在宫中的魅力值。【请小主赠送任意好友一朵情有独钟】,40039,,
建造织布机,10039,,512,,,10038,10040,建造织布机,小主需先建造织布机方可进行织布哦。【请小主建造织布机】,40040,,10038,10040,建造织布机,小主需先建造织布机方可进行织布哦。【请小主建造织布机】,40040,,
收获棉布,10040,,604,1002,,10039,10041,收获棉布,皇后娘娘刁难小主，让小主前去负责打造装备，幸有公公提醒需准备好棉布等材料才可。【请小主织造相应数量的棉布】,40041,"(2061,2062,2003,)",10039,10041,收获棉布,皇后娘娘刁难小主，让小主前去负责打造装备，幸有公公提醒需准备好棉布等材料才可。【请小主织造相应数量的棉布】,40041,"(2061,2062,2003,)",
建造矿洞,10041,,632,,,10040,10042,建造矿洞,小主需先建造矿洞方可进行采矿哦。【请小主建造矿洞】,40042,,10040,10042,建造矿洞,小主需先建造矿洞方可进行采矿哦。【请小主建造矿洞】,40042,,
采矿石,10042,,603,,,10041,10043,采矿石,矿石是打造装备必不可少的，小主一定要准备齐了再去打造装备。【请小主挖出相应数量的矿石】,40043,,10041,10043,采矿石,矿石是打造装备必不可少的，小主一定要准备齐了再去打造装备。【请小主挖出相应数量的矿石】,40043,,
升级技能5次,10043,,501,,,10042,10044,升级技能5次,公公见小主武力尚有欠缺，好心提醒小主可通过升级技能来提升自己的能力。【请小主点击技能→升级技能】,40044,,10042,10044,升级技能5次,公公见小主武力尚有欠缺，好心提醒小主可通过升级技能来提升自己的能力。【请小主点击技能→升级技能】,40044,,
上阵4个仆从,10044,,,1001,,10043,10045,上阵4个仆从,蕊心为小主出谋划策，建议小主招募仆从培养自己的势力才能不那么轻易被打败，方能站稳脚跟。【请小主点击仆从→点击第二个标签招募→选中所需仆从→点击招募】,40045,"(2030,2031,)",10043,10045,上阵4个仆从,蕊心为小主出谋划策，建议小主招募仆从培养自己的势力才能不那么轻易被打败，方能站稳脚跟。【请小主点击仆从→点击第二个标签招募→选中所需仆从→点击招募】,40045,"(2030,2031,)",
升级从八品,10045,,,1003,,10044,10046,升级从八品,皇上下旨，将小主升官从八品。【请小主点击官职→点击提升官职】,40046,"(2032,2033,)",10044,10046,升级从八品,皇上下旨，将小主升官从八品。【请小主点击官职→点击提升官职】,40046,"(2032,2033,)",
建造造办处,10046,,513,,,10045,10047,建造造办处,小主需先建造造办处方可开启打造等功能进行打造装备。【请小主建造造办处】,40047,,10045,10047,建造造办处,小主需先建造造办处方可开启打造等功能进行打造装备。【请小主建造造办处】,40047,,
造装备,10047,,605,,,10046,10048,造装备,材料准备齐全，即刻动身前去打造装备，以防皇后娘娘再找借口责罚小主。【请小主点击造办处→点击打造→选择要打造的武器装备】,40048,,10046,10048,造装备,材料准备齐全，即刻动身前去打造装备，以防皇后娘娘再找借口责罚小主。【请小主点击造办处→点击打造→选择要打造的武器装备】,40048,,
装备分解,10048,,,,,10047,10049,装备分解,公公见小主背包快要满了，好心提醒小主可以通过装备分解获取碎片来减少背包的库存。【请小主点击背包→选择要分解的装备→点击分解→分解成功】,40049,,10047,10049,装备分解,公公见小主背包快要满了，好心提醒小主可以通过装备分解获取碎片来减少背包的库存。【请小主点击背包→选择要分解的装备→点击分解→分解成功】,40049,,
兑换图纸,10049,,502,,,10048,10050,兑换图纸,娴妃娘娘托人带话给小主，小主前几日分解的碎片可兑换成打造装备的图纸，真可谓大有用途。【请小主点击商城→点击兑换界面→选择要兑换的装备图纸】,40050,,10048,10050,兑换图纸,娴妃娘娘托人带话给小主，小主前几日分解的碎片可兑换成打造装备的图纸，真可谓大有用途。【请小主点击商城→点击兑换界面→选择要兑换的装备图纸】,40050,,
通关普通关卡第二章,10050,,,,,10049,10052,通关普通关卡第二章,通关普通关卡第二章,40051,,10049,10052,通关普通关卡第二章,通关普通关卡第二章,40051,,
战斗力达到12000,10052,,,,,10050,10053,战斗力达到12000,公公提醒小主，若想升官职就需战斗力达到12000。,40053,,10050,10053,战斗力达到12000,公公提醒小主，若想升官职就需战斗力达到12000。,40053,,
在聊天综合频道中说一句话,10053,,,1009,,10052,10054,在聊天综合频道中说一句话,皇后娘娘见小主独得恩宠心生嫉妒，召见小主并讥讽小主一番，强行命令小主跟各宫娘娘前去聊天说话。,40054,"(2045,2046,2047,2048,2049,)",10052,10054,在聊天综合频道中说一句话,皇后娘娘见小主独得恩宠心生嫉妒，召见小主并讥讽小主一番，强行命令小主跟各宫娘娘前去聊天说话。,40054,"(2045,2046,2047,2048,2049,)",
升级正八品,10054,,,,,10053,10055,升级正八品,皇上有旨，夸小主在后宫人缘极好，魅力值达到99，隧将小主升官正八品。,40055,,10053,10055,升级正八品,皇上有旨，夸小主在后宫人缘极好，魅力值达到99，隧将小主升官正八品。,40055,,
刷宝,10055,,,,,10054,10056,刷宝,公公提醒小主，通过剧情刷宝可获取更多的经验和奖励。（点击剧情→选中主要关卡→点击刷宝按钮）,40056,,10054,10056,刷宝,公公提醒小主，通过剧情刷宝可获取更多的经验和奖励。（点击剧情→选中主要关卡→点击刷宝按钮）,40056,,
收30朵满天星,10056,,,,,10055,10057,收30朵满天星,皇后身边的姑姑前来带话，请小主收满天星供皇后娘娘近日使用。,40057,,10055,10057,收30朵满天星,皇后身边的姑姑前来带话，请小主收满天星供皇后娘娘近日使用。,40057,,
合成1朵桃之妖妖,10057,,,,,10056,10058,合成1朵桃之妖妖,皇后娘娘命小主带上满天星前去花房种新品种花。,40058,,10056,10058,合成1朵桃之妖妖,皇后娘娘命小主带上满天星前去花房种新品种花。,40058,,
赠送好友桃之妖妖,10058,,,,,10057,10029,赠送好友桃之妖妖,小丫鬟给小主出主意，建议小主将插好的桃之妖妖送后宫小主。,40059,,10057,10029,赠送好友桃之妖妖,小丫鬟给小主出主意，建议小主将插好的桃之妖妖送后宫小主。,40059,,
建造擂台,10029,,509,,,10058,10030,建造擂台,小主需先建造擂台方可开启擂台等功能进行比武。【请小主建造擂台】,40030,,10058,10030,建造擂台,小主需先建造擂台方可开启擂台等功能进行比武。【请小主建造擂台】,40030,,
引导比武,10030,,601,1008,,10029,10059,引导比武,惠贵妃平时便与众妃嫔不和，现如今约小主前去擂台比武，可见其心怀不轨，小主还是小心为妙。【请小主点击擂台→选择比武对象】,40031,"(2057,2058,2059,2060,)",10029,10059,引导比武,惠贵妃平时便与众妃嫔不和，现如今约小主前去擂台比武，可见其心怀不轨，小主还是小心为妙。【请小主点击擂台→选择比武对象】,40031,"(2057,2058,2059,2060,)",
购买任意一件装扮,10059,,,,,10030,10060,购买任意一件装扮,小丫鬟为小主提议，前去尚衣局置办一件华美的装扮或许会让自己在太后的寿辰之时给皇上眼前一亮的感觉，赢得宠爱。,40060,,10030,10060,购买任意一件装扮,小丫鬟为小主提议，前去尚衣局置办一件华美的装扮或许会让自己在太后的寿辰之时给皇上眼前一亮的感觉，赢得宠爱。,40060,,
穿戴新购买的饰品,10060,,,,,10059,10061,穿戴新购买的饰品,小主，快将新置办的饰品穿戴上吧！,40061,,10059,10061,穿戴新购买的饰品,小主，快将新置办的饰品穿戴上吧！,40061,,
拜访好友,10061,,,,,10060,10066,拜访好友,小主，近日多去各位小主家走走看看巩固一下感情。,40062,,10060,10066,拜访好友,小主，近日多去各位小主家走走看看巩固一下感情。,40062,,
建造太液池,10062,,,,,10061,10066,建造太液池,公公提醒小主，近日好多小主在宫中修葺了太液池，小主您也建造一个吧。,40063,,10061,10066,建造太液池,公公提醒小主，近日好多小主在宫中修葺了太液池，小主您也建造一个吧。,40063,,
钓一次鱼,10063,,,,,10061,10066,钓一次鱼,闲来无事，王爷约皇上前去太液池垂钓，皇上特命小主一同前去。,40064,,10061,10066,钓一次鱼,闲来无事，王爷约皇上前去太液池垂钓，皇上特命小主一同前去。,40064,,
建造一个造渔具的工作台,10064,,,,,10061,10066,建造一个造渔具的工作台,小主，您可以通过造渔具的工作台制造鱼钩哦~,40065,,10061,10066,建造一个造渔具的工作台,小主，您可以通过造渔具的工作台制造鱼钩哦~,40065,,
造2枚铜鱼钩,10065,,,,,10061,10066,造2枚铜鱼钩,小主，您可以自己打制一些鱼钩以备以后钓鱼时用哦~,40066,,10061,10066,造2枚铜鱼钩,小主，您可以自己打制一些鱼钩以备以后钓鱼时用哦~,40066,,
收获5块棉布,10066,,,,,10065,10067,收获5块棉布,小主，奴婢听说您想打造些装备，小主要先行准备材料哦！,40067,,10065,10067,收获5块棉布,小主，奴婢听说您想打造些装备，小主要先行准备材料哦！,40067,,
收获5块铜矿,10067,,,,,10066,10068,收获5块铜矿,小主，除了棉布外，您还需要准备打造用的矿石哦~,40068,,10066,10068,收获5块铜矿,小主，除了棉布外，您还需要准备打造用的矿石哦~,40068,,
造装备缎带,10068,,,,,10067,10069,造装备缎带,小主，打造装备的材料都已备齐了，请小主前去打造装备吧~,40069,,10067,10069,造装备缎带,小主，打造装备的材料都已备齐了，请小主前去打造装备吧~,40069,,
任意技能升级,10069,,,,,10068,10070,任意技能升级,小主最近是否感觉比武力不从心了？小主快试着吃些内丹升升技能吧！,40070,,10068,10070,任意技能升级,小主最近是否感觉比武力不从心了？小主快试着吃些内丹升升技能吧！,40070,,
招募仆从到6个,10070,,,,,10069,10071,招募仆从到6个,请小主招募仆到6个，心腹越多在后宫地位越稳固哦~,40071,,10069,10071,招募仆从到6个,请小主招募仆到6个，心腹越多在后宫地位越稳固哦~,40071,,
升官至从七品,10071,,,,,10070,10051,升官至从七品,恭喜小主晋升一级官品，请小主前去领旨谢恩吧！,40072,,10070,10051,升官至从七品,恭喜小主晋升一级官品，请小主前去领旨谢恩吧！,40072,,
建造保和殿,10051,,503,,,10071,10072,建造保和殿,小主需先建造保和殿方可开启官职等功能进行升官品。,40052,,10071,10072,建造保和殿,小主需先建造保和殿方可开启官职等功能进行升官品。,40052,,
换衣服,10072,,,,,10051,10074,换衣服,听闻小主即将娶亲，请小主购买灿金棉褂吉服（天子）,40073,,10051,10074,换衣服,听闻小主即将娶亲，请小主购买灿金棉褂吉服（天子）,40073,,
结婚,10073,,,,,10072,10074,结婚,请小主向喜欢的人儿表白吧！快马加鞭送聘书吧！,40074,,10072,10074,结婚,请小主向喜欢的人儿表白吧！快马加鞭送聘书吧！,40074,,
送花一次,10074,,,,,10072,10075,送花一次,恭喜小主完成大婚，请为自己另一半送上美丽的飘花增加结拜双方的亲密度吧！,40075,,10072,10075,送花一次,恭喜小主完成大婚，请为自己另一半送上美丽的飘花增加结拜双方的亲密度吧！,40075,,
收获10块棉布,10075,,,,,10074,10076,收获10块棉布,请小主收获已纺织好的棉布吧！,40076,,10074,10076,收获10块棉布,请小主收获已纺织好的棉布吧！,40076,,
收获10瓶明黄色,10076,,,,,10075,10077,收获10瓶明黄色, 请小主再去收取已经调制好的染料吧！,40077,,10075,10077,收获10瓶明黄色, 请小主再去收取已经调制好的染料吧！,40077,,
制衣,10077,,,,,10076,10078,制衣,小主，制衣的布匹和染料都已准备好了，请小主只做一件新衣吧！,40078,,10076,10078,制衣,小主，制衣的布匹和染料都已准备好了，请小主只做一件新衣吧！,40078,,
合成1枚2级宝石,10078,,,,,10077,10079,合成1枚2级宝石,请小主合成一个2级普通宝石。,40079,,10077,10079,合成1枚2级宝石,请小主合成一个2级普通宝石。,40079,,
镶嵌宝石1次,10079,,,,,10078,10080,镶嵌宝石1次,请小主将合成的宝石镶嵌到装备上。,40080,,10078,10080,镶嵌宝石1次,请小主将合成的宝石镶嵌到装备上。,40080,,
探宝1次,10080,,738,,,10079,10081,探宝1次,小主，奴婢听说内务府新到一批宝物，请小主前去探宝吧！,40081,,10079,10081,探宝1次,小主，奴婢听说内务府新到一批宝物，请小主前去探宝吧！,40081,,
探宝3次,10081,,,,,10080,10082,探宝3次,听闻探宝结束后会获得稀有大礼包，小主在探3次吧，加油哦~,40082,,10080,10082,探宝3次,听闻探宝结束后会获得稀有大礼包，小主在探3次吧，加油哦~,40082,,
升官至正七品,10082,,,,,10081,10083,升官至正七品,恭喜小主晋升一级官品，请小主前去领旨谢恩吧！,40083,,10081,10083,升官至正七品,恭喜小主晋升一级官品，请小主前去领旨谢恩吧！,40083,,
